product_id,product_name,price,qty
39240268,"Xs max gold 64g ",7700,58
39235167,"Cluse pour femme ",500,24
39243266,"DELL 5810-E5-1650 V3-2 To SATA -QUADRO K2200",10700,52
40008566,"Lenovo ThinkPad L470 i5",3500,44
40008766,"Velo btwin",1900,48
39236765,"couple canaris crest ",1500,54
39898865,"Sony rx100 mark 6 ",7200,31
40008565,"Rover 75 diesel ",42000,83
39235065,"Hair Gel",300,128
39242664,"HP WorkStation Z620-24 Go DDR3 ECC-Quadro K600",6990,33
39241064,"Briel montre",500,150
39235364,"Monitor",32000,47
39237164,"Charger",65000,101
40008064,"television hair",400,35
39234864,"Mbk diablo",4500,97
39238764,"Sony",2500,29
40007864,"Paravent Peintures II ",950,139
39235564,"Nikon Coolpix P510",2000,84
39234963,"camera lumix",1000,18
40008763,"Telephone",2200,41
40007863,"Hyundai Elantra inventive Diesel ",165000,134
39242063,"terrain agricole",400500,143
39237163,"Notebook",500,108
39237362,"A9 2018",2600,145
40007662,"Respironics Deutschland ",3500,24
39241762,"BaQa Ne9iya",26000,32
40008362,"Fiat Grande Punto Diesel",72500,70
40007962,"DELL OPTIPLEX 3020 DESKTOP i3-4150",1250,39
40007561,"LG Gram i7 6TH 15P 8Go 256Go 1TB Nvidia 940M 2go",4500,84
40007361,"Ssd nvme 1000gb samsung",1000,10
40008459,"Lenovo Yoga 520 x360",4500,39
39242959,"Parc",400,19
37173858,"Armoire pour enfant",1900,91
39236658,"Golf 7",228000,125
39238857,"Kangoo ",63000,120
39237657,"Folder",4500,56
40008257,"motorola g7 ",1300,14
39240757,"Lenovo ThinkCentre M92p DESCKTOP",1190,64
39238757,"Renault  19 storia 95",39500,27
40008357,"Fiat Linea",68500,26
39235357,"salon yous 2020 ",3990,73
39241057,"LENOVO THINKCENTER M800 MINITOUR ",3990,128
39237656,"Coffee Beans",3500,74
38995955,"Accent Tank 24 incroyablement fort et robuste ",450,54
40007954,"ecouteur bluetooth jbl original ",600,119
39243053,"NIKON D7000",3100,26
40007853,"Cadre moderne La formule magique ",300,20
40008452,"Macbook Pro 2017",8200,18
39237052,"planche de chasse",1000,64
39240652,"DELL PRECISION 7510 Top",13400,100
40008551,"Xiaomi Mi Notebook",5200,110
40008750,"a10s neuf noir",1420,125
39241550,"Ford Kuga Diesel Trend Plus",155000,112
40008448,"cuisine complet",4000,132
40008148,"Lecteur code barre ",900,100
40008648,"Lenovo Yoga 370",5000,118
39955148,"Rock sublimation cadeau 2020 certificat",59,112
40008147,"Iphone xsmax 64",7500,68
40008247,"Liberty 125",13000,113
38697647,"DELL PRECISION 7710 I7 6820HQ 16G 1TSSD FIRPRO",9000,20
39235047,"206 mliha",41000,35
40007547,"Samsung galaxy A80 ",3200,145
39234647,"Kangoo",55000,108
40008146,"FOREO LUNA Brosse  pour tous les types de peau",149,24
40008246,"Hp Elitebook 8470p Core i5 Ram 4Go SHDD 320Go",2300,98
40008646,"Macbook Pro 2016 TouchBar",10800,117
40008645,"MP3 SONY WALKMAN ",120,84
40007544,"ecran Iphone X Original ",1850,70
39235843,"tele hot gamme 8g RAM 128g stockage",3500,106
39237342,"S7 edge",1600,17
39237541,"Jeans",60000,20
40008041,"comore free fire",150,109
39240741,"DELL OPTIPLEX 390 DESCKTOP I3-2120",1100,115
39243541,"HP pavilion X2",1990,108
39242540,"Honda Jazz",54000,89
39237039,"Renault 12 Essence",8500,13
38726839,"Carrier Gainable 48000BTU inverter",12600,64
39240539,"betonniere 750l",30000,130
39235139,"Tableaux nrsa",300,99
39235538,"Perfume",5e+06,42
39235238,"1terra ssd NVMe samsung Evo",1300,9
39243138,"Sneakers",800000,129
39236538,"Renault R9",15000,26
39241937,"HP Prodesk 600 G1 TOUR Pentium G3420",1090,41
39243137,"velo",1500,18
39237136,"Office Chair",70000,25
40008536,"Loupe Lampe De Table Pivotant De Bureau",400,140
39235236,"Vtt BTWIN",2000,105
39243136,"GIGABYTEZ97X",6390,15
39234736,"Pc portable ",2500,117
39240636,"Velo giant ",1000,121
39236935,"iPhone 6s plus Rose 64go",2000,144
39234535,"Wardrobe",34000,141
39237835,"Tomato Sauce",120,62
39234534,"Megane 2 diesel",63000,20
39235034,"megane2 diesel 04",63000,111
40007333,"DELL CORE I5 E6410",1900,119
40007832,"ps4",3500,51
39235331,"peugeot 407",63000,14
39235131,"kangoo diesel",72000,71
39240531,"MY PASSPORT WD 4 To ",1690,112
40008431,"Xbox 360",550,21
39241630,"ECRAN BenQ EL2870U 28 inch 4K",4500,73
40008430,"iPad Pro 1",2600,14
39240630,"Iphone x 64g",5300,149
39234530,"PC portable Asus",5000,143
39003130,"Porsche Cayenne diesel diwana 2012",148000,73
39243829,"MACBOOK 13 2017",9990,73
40008629,"Magic Trackpad 2 Neuf",1200,127
40007429,"motour mli7",3300,64
40008429,"Respironics Deutschland ",3500,94
39243028,"Iphone x",3800,136
39239728,"sony i5",1800,66
39237928,"Macbook",1500,47
39235727,"Samsung galaxy A40",1600,69
39241527,"Peugeot 306 essence",40000,129
39235727,"Samsung galaxy A40",1600,150
39242026,"HP PRODESK 400 G3 MINI G4400T",2790,131
40008326,"Paravent Hoarfrost and Gold II ",950,135
40008025,"Citreon C5 TOUT OPTION",120000,39
39243124,"Peugeot 2008",160000,122
39243824,"OPTIPLEX 3010 DESCKTOP  i5-3470",1690,138
39243324,"uno diesel motor jdid",27000,141
40008523,"HP EliteBook 840 G3 i7",4200,102
39235023,"je mets en vente mon telephone mi a3",1500,24
39241722,"Lipstick",28000,27
38794822,"appartement marrakech gueliz",250,81
39240622,"Renaut trafic",150000,69
39240821,"DELL OPTIPLEX 790 DESCKTOP i7-2600",2250,107
40007821,"AFFICHEUR iPhone X Best Qualiy",1200,86
39904621,"RENAULT LATITUDE PRIVILEGE AUTOMATIQUE TTOPTIONS",98000,61
39238821,"Audi a5 prestige",245000,69
40008520,"HP Gamer 1050 GTX",6300,75
39904620,"MERCEDES C 220 BLUETEC BVA DOUANE2019 TTESOPTIONS",319000,71
39243020,"couveuse av Genie 2020",100,115
40007818,"Clavier Imac Sans Fil Qwerty Parfait Etat",500,31
39235518,"pneus",700,111
39237518,"Nike spardila orejinal 44 ",200,20
39236716,"Monitor",1000,49
38566516,"Toyota RAV 4 Diesel",105000,60
39242015,"Tomato Sauce",200,35
39234715,"Omnicolore ",2000,27
40008514,"Samsung Galaxy Tab Active2 Neuf",1850,84
38643213,"Des tableaux islamiques",450,48
39243413,"Digital laser measure Bosch Zamo",450,116
40008613,"oppo A7",1250,112
39234713,"Peugeot",119000,43
39241413,"DELL OPTIPLEX 3020 DESKTOP i3-4150",1250,122
36210412,"Sitirya",1500,81
39235012,"becane super cube",9000,75
39236112,"Vivo S1 ",2849,95
40007611,"GAMDIAS HERMES P3-RGB Mechanical Gaming ",690,137
40008711,"MUSCULATION",700,119
39242010,"Kia sport",76000,41
40008410,"iPad 5eme generation",1900,141
39243010,"Velo",1000,97
39243010,"Velo",1000,116
39242009,"VIEWSONIC VSD242",3990,136
39241208,"DL E20 XC MINI TOUR C2D E7300",890,27
39235408,"Tableaux noit",300,35
40008308,"ps4 1216",2100,100
39237608,"Socks",1800,141
39240607,"Poussette",650,94
40007607,"HP Probook 430 G5 13P i5 8TH 8Go 500Go HDD HD",4000,111
39235106,"Rechaud Prof",2300,96
39242006,"Mercedes 220 AMG",385000,148
40007606,"iphone 8 normal 64GB ",2500,123
39844206,"ASUS ZENBOOK UX430UNR I7 8th gen Nvidia mx150",7800,88
39243306,"Volkswagen golf",37000,58
39236705,"Perfume",249,44
40008005,"Tableau Marilyn Monroe II ",300,73
40008704,"Hp Spectre x360 Convertible",5800,51
39236703,"karosa makla",3500,31
40008303,"Afficheur iPhone X",1250,80
39237102,"fiat palio",33000,146
39237601,"mercedes 190",27000,138
39243800,"OPTIPLEX 7010 DESCKTOP i5-3470",1490,43
39238900,"gacela",7000,98
